station id, station name, valid,povp. tlak [hPa],količina padavin [mm],hitrost vetra [m/s]
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,18/09/2022 15:50,978,,4
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,18/09/2022 16:00,978,0,3.9
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,18/09/2022 16:10,978,,3.9
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,18/09/2022 16:20,978,,3
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,18/09/2022 16:30,978,0,2.3
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,18/09/2022 16:40,978,,2.3
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,18/09/2022 16:50,978,,1.5
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,18/09/2022 17:00,978,0,1.5
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,18/09/2022 17:10,978,,1.2
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,18/09/2022 17:20,978,,1.2
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,18/09/2022 17:30,978,0,1.1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,18/09/2022 17:40,978,,0.8
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,18/09/2022 17:50,978,,0.8
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,18/09/2022 18:00,978,0,0.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,18/09/2022 18:10,978,,0.5
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,18/09/2022 18:20,978,,0.7
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,18/09/2022 18:30,978,0,0.7
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,18/09/2022 18:40,978,,1.3
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,18/09/2022 18:50,978,,1.3
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,18/09/2022 19:00,979,0,1.9
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,18/09/2022 19:10,979,,1.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,18/09/2022 19:20,979,,2.1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,18/09/2022 19:30,979,0,1.8
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,18/09/2022 19:40,979,,1.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,18/09/2022 19:50,979,,1.7
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,18/09/2022 20:00,979,0,1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,18/09/2022 20:10,979,,0.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,18/09/2022 20:20,979,,0.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,18/09/2022 20:30,979,0,0.7
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,18/09/2022 20:40,979,,0.5
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,18/09/2022 20:50,979,,0.5
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,18/09/2022 21:00,979,0,0.3
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,18/09/2022 21:10,979,,0.3
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,18/09/2022 21:20,979,,1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,18/09/2022 21:30,979,0,1.5
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,18/09/2022 21:40,979,,1.2
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,18/09/2022 21:50,979,,1.3
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,18/09/2022 22:00,979,0,1.3
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,18/09/2022 22:10,979,,1.2
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,18/09/2022 22:20,978,,1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,18/09/2022 22:30,978,0,1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,18/09/2022 22:40,978,,0.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,18/09/2022 22:50,978,,0.7
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,18/09/2022 23:00,978,0,0.9
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,18/09/2022 23:10,978,,0.9
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,18/09/2022 23:20,978,,0.4
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,18/09/2022 23:30,978,0,0.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,18/09/2022 23:40,978,,0.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,18/09/2022 23:50,978,,0.5
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 00:00,978,0,0.4
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 00:10,978,,0.7
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 00:20,978,,0.9
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 00:30,978,0,0.7
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 00:40,978,,1.1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 00:50,977,,0.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 01:00,977,0,0.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 01:10,977,,0.8
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 01:20,977,,0.7
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 01:30,977,0,0.7
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 01:40,977,,1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 01:50,977,,0.8
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 02:00,977,0,0.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 02:10,977,,0.8
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 02:20,977,,1.8
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 02:30,977,0.1,1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 02:40,977,,1.9
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 02:50,977,,2.1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 03:00,977,0,1.2
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 03:10,977,,1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 03:20,977,,0.8
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 03:30,976,0,1.2
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 03:40,976,,0.8
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 03:50,976,,1.1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 04:00,976,0,0.7
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 04:10,976,,1.5
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 04:20,976,,1.9
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 04:30,976,0,1.7
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 04:40,976,,0.8
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 04:50,976,,0.4
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 05:00,976,0,0.7
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 05:10,976,,1.1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 05:20,976,,0.8
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 05:30,976,0,2.1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 05:40,976,,1.3
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 05:50,976,,1.1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 06:00,976,0,0.9
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 06:10,976,,0.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 06:20,976,,0.7
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 06:30,977,0,0.9
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 06:40,977,,1.5
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 06:50,977,,1.2
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 07:00,977,0,0.8
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 07:10,977,,1.3
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 07:20,977,,1.8
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 07:30,977,0,1.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 07:40,978,,2.2
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 07:50,978,,1.3
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 08:00,978,0,1.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 08:10,978,,1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 08:20,978,,1.3
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 08:30,978,0,1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 08:40,978,,0.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 08:50,978,,0.8
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 09:00,978,0,1.7
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 09:10,978,,1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 09:20,978,,1.1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 09:30,978,0,1.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 09:40,978,,1.2
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 09:50,978,,1.8
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 10:00,979,0,2
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 10:10,979,,1.5
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 10:20,979,,1.8
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 10:30,979,0,1.7
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 10:40,979,,1.8
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 10:50,979,,1.8
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 11:00,979,0,2.4
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 11:10,979,,1.9
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 11:20,979,,1.9
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 11:30,979,0,1.4
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 11:40,979,,1.9
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 11:50,979,,1.5
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 12:00,979,0,2.4
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 12:10,979,,5
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 12:20,979,,4.8
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 12:30,979,0,4.8
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 12:40,979,,4.3
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 12:50,979,,3.5
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 13:00,979,0,3.7
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 13:10,979,,3.7
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 13:20,979,,3.5
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 13:30,979,0,4.4
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 13:40,979,,3.5
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 13:50,979,,3.3
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 14:00,979,0,2.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 14:10,979,,2.2
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 14:20,979,,2.5
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 14:30,979,0,2.8
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 14:40,979,,3.8
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 14:50,979,,3.4
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 15:00,979,0,3
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 15:10,979,,3.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 15:20,979,,2.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 15:30,979,0,3
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 15:40,979,,2.1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 15:50,979,,3.4
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 16:00,979,0,2.9
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 16:10,980,,2.8
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 16:20,980,,3.1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 16:30,980,0,3
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 16:40,980,,1.8
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 16:50,980,,2
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 17:00,980,0,2.2
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 17:10,980,,2.1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 17:20,980,,1.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 17:30,980,0,1.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 17:40,980,,1.4
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 17:50,980,,1.5
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 18:00,981,0,1.1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 18:10,981,,1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 18:20,981,,1.2
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 18:30,981,0,1.4
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 18:40,981,,1.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 18:50,981,,1.3
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 19:00,981,0,1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 19:10,981,,1.2
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 19:20,982,,1.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 19:30,982,0,1.4
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 19:40,982,,1.8
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 19:50,982,,1.4
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 20:00,982,0,1.2
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 20:10,982,,1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 20:20,983,,0.9
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 20:30,983,0,0.7
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 20:40,983,,0.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 20:50,983,,1.1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 21:00,983,0,1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 21:10,983,,0.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 21:20,983,,0.7
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 21:30,983,0,0.5
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 21:40,983,,0.4
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 21:50,983,,0.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 22:00,983,0,0.4
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 22:10,983,,0.5
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 22:20,983,,0.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 22:30,983,0,0.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 22:40,983,,0.8
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 22:50,983,,0.7
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 23:00,984,0,1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 23:10,984,,1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 23:20,984,,0.4
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 23:30,984,0,0.4
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 23:40,984,,0.5
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,19/09/2022 23:50,984,,0.7
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 00:00,984,0,1.1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 00:10,984,,0.7
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 00:20,984,,0.8
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 00:30,984,0,1.1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 00:40,984,,1.3
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 00:50,984,,0.8
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 01:00,984,0,0.8
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 01:10,984,,1.1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 01:20,984,,1.7
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 01:30,984,0,1.9
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 01:40,984,,1.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 01:50,984,,1.4
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 02:00,984,0,1.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 02:10,984,,0.9
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 02:20,984,,0.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 02:30,984,0,1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 02:40,984,,1.3
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 02:50,984,,1.3
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 03:00,984,0,0.5
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 03:10,984,,1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 03:20,984,,0.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 03:30,984,0,1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 03:40,984,,1.2
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 03:50,984,,1.4
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 04:00,984,0,0.9
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 04:10,984,,0.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 04:20,984,,0.9
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 04:30,984,0,0.9
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 04:40,984,,0.7
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 04:50,984,,0.3
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 05:00,984,0,1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 05:10,984,,0.8
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 05:20,984,,0.5
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 05:30,984,0,1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 05:40,984,,0.7
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 05:50,984,,0.4
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 06:00,984,0,0.7
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 06:10,984,,1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 06:20,985,,1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 06:30,985,0,0.8
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 06:40,985,,1.2
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 06:50,985,,0.8
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 07:00,985,0,0.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 07:10,985,,1.2
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 07:20,985,,1.1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 07:30,985,0,0.8
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 07:40,985,,0.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 07:50,985,,0.5
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 08:00,985,0,0.7
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 08:10,985,,0.7
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 08:20,985,,1.5
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 08:30,985,0,1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 08:40,985,,0.9
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 08:50,985,,0.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 09:00,985,0,1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 09:10,985,,0.8
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 09:20,985,,1.4
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 09:30,985,0,1.2
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 09:40,985,,1.5
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 09:50,985,,1.3
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 10:00,985,0,1.2
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 10:10,984,,1.2
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 10:20,984,,1.2
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 10:30,984,0,1.3
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 10:40,984,,1.1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 10:50,984,,1.2
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 11:00,984,0,0.9
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 11:10,984,,1.5
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 11:20,984,,1.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 11:30,984,0,1.2
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 11:40,984,,1.1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 11:50,984,,1.4
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 12:00,983,0,1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 12:10,983,,1.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 12:20,983,,1.1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 12:30,983,0,1.4
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 12:40,983,,2
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 12:50,983,,1.4
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 13:00,983,0,1.5
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 13:10,983,,1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 13:20,983,,1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 13:30,982,0,1.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 13:40,982,,1.4
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 13:50,982,,1.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 14:00,982,0,1.7
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 14:10,982,,1.2
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 14:20,982,,1.2
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 14:30,982,0,2
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 14:40,982,,2.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 14:50,982,,1.4
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 15:00,982,0,1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 15:10,982,,1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 15:20,982,,1.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 15:30,982,0,1.1
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 15:40,982,,1.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 15:50,982,,2.2
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 16:00,982,0,2
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 16:10,982,,1.8
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 16:20,982,,1.2
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 16:30,982,0,2.2
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 16:40,982,,2.6
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 16:50,982,,1.7
,,,,,
_1828,LJUBLJANA - BEŽIGRAD,20/09/2022 17:00,982,0,0.8
,,,,,
